Year,Month,temp_2,temp_1,temp_3,actual
2015,12,1.09,1.06,0.84,1.16
2016,1,1.06,1.16,1.09,1.17
2016,2,1.16,1.17,1.06,1.37
2016,3,1.17,1.37,1.16,1.36
2016,4,1.37,1.36,1.17,1.1
2016,5,1.36,1.1,1.37,0.95
2016,6,1.1,0.95,1.36,0.8
2016,7,0.95,0.8,1.1,0.84
2016,8,0.8,0.84,0.95,1.02
2016,9,0.84,1.02,0.8,0.9
2016,10,1.02,0.9,0.84,0.88
2016,11,0.9,0.88,1.02,0.91
2016,12,0.88,0.91,0.9,0.86
2017,1,0.91,0.86,0.88,1.01
2017,2,0.86,1.01,0.91,1.13
2017,3,1.01,1.13,0.86,1.16
2017,4,1.13,1.16,1.01,0.94
2017,5,1.16,0.94,1.13,0.9
2017,6,0.94,0.9,1.16,0.71
2017,7,0.9,0.71,0.94,0.81
2017,8,0.71,0.81,0.9,0.87
2017,9,0.81,0.87,0.71,0.77
2017,10,0.87,0.77,0.81,0.9
2017,11,0.77,0.9,0.87,0.88
2017,12,0.9,0.88,0.77,0.93
2018,1,0.88,0.93,0.9,0.81
2018,2,0.93,0.81,0.88,0.84
2018,3,0.81,0.84,0.93,0.88
2018,4,0.84,0.88,0.81,0.88
2018,5,0.88,0.88,0.84,0.82
2018,6,0.88,0.82,0.88,0.77
2018,7,0.82,0.77,0.88,0.82
2018,8,0.77,0.82,0.82,0.76
2018,9,0.82,0.76,0.77,0.8
2018,10,0.76,0.8,0.82,1.01
2018,11,0.8,1.01,0.76,0.82
2018,12,1.01,0.82,0.8,0.91
2019,1,0.82,0.91,1.01,0.92
2019,2,0.91,0.92,0.82,0.95
2019,3,0.92,0.95,0.91,1.17
2019,4,0.95,1.17,0.92,1.01
2019,5,1.17,1.01,0.95,0.84
2019,6,1.01,0.84,1.17,0.9
2019,7,0.84,0.9,1.01,0.94
2019,8,0.9,0.94,0.84,0.94
2019,9,0.94,0.94,0.9,0.92
2019,10,0.94,0.92,0.94,1.01
2019,11,0.92,1.01,0.94,0.99
2019,12,1.01,0.99,0.92,1.08
2020,1,0.99,1.08,1.01,1.16
2020,2,1.08,1.16,0.99,1.24
2020,3,1.16,1.24,1.08,1.16
2020,4,1.24,1.16,1.16,1.13
2020,5,1.16,1.13,1.24,1.01
2020,6,1.13,1.01,1.16,0.91
2020,7,1.01,0.91,1.13,0.9
2020,8,0.91,0.9,1.01,0.87
2020,9,0.9,0.87,0.91,0.98
2020,10,0.87,0.98,0.9,0.88
2020,11,0.98,0.88,0.87,1.1
2020,12,0.88,1.1,0.98,0.81
2021,1,1.1,0.81,0.88,0.81
2021,2,0.81,0.81,1.1,0.64
2021,3,0.81,0.64,0.81,0.88
2021,4,0.64,0.88,0.81,0.74
2021,5,0.88,0.74,0.64,0.78
2021,6,0.74,0.78,0.88,0.84
2021,7,0.78,0.84,0.74,0.92
2021,8,0.84,0.92,0.78,0.81
2021,9,0.92,0.81,0.84,0.91
2021,10,0.81,0.91,0.92,0.99
2021,11,0.91,0.99,0.81,0.92
2021,12,0.99,0.92,0.91,0.85
